iter	Passed	Remaining
372	437	5430
373	438	5429
374	440	5428
375	441	5425
376	442	5425
377	443	5424
378	444	5422
379	446	5422
380	447	5422
381	448	5421
382	449	5420
383	450	5418
384	451	5417
385	453	5417
386	454	5415
387	455	5414
388	456	5413
389	457	5412
390	459	5410
391	460	5409
392	461	5408
393	462	5406
394	463	5406
395	464	5405
396	465	5399
397	466	5397
398	467	5387
399	468	5385
400	469	5384
401	470	5383
402	471	5382
403	473	5381
404	474	5382
405	475	5381
406	476	5379
407	477	5378
408	479	5377
409	480	5375
410	481	5375
411	482	5374
412	483	5374
413	485	5372
414	486	5372
415	487	5372
416	488	5372
417	489	5370
418	491	5370
419	492	5369
420	493	5367
421	494	5366
422	495	5366
423	497	5365
424	498	5363
425	499	5361
426	500	5360
427	501	5359
428	502	5358
429	504	5356
430	505	5356
431	506	5356
432	507	5354
433	508	5353
434	510	5353
435	511	5351
436	512	5350
437	513	5349
438	514	5347
439	516	5348
440	517	5346
441	517	5341
442	519	5343
443	520	5342
444	522	5347
445	523	5346
446	524	5344
447	525	5342
448	526	5337
449	527	5336
450	528	5335
451	530	5334
452	531	5333
453	532	5332
454	533	5330
455	534	5328
456	535	5327
457	537	5326
458	538	5325
459	539	5324
460	540	5323
461	541	5321
462	542	5319
463	543	5317
464	545	5316
465	546	5316
466	547	5315
467	548	5314
468	549	5313
469	551	5311
470	552	5310
471	553	5308
472	554	5307
473	555	5305
474	556	5304
475	557	5302
476	559	5302
477	560	5301
478	561	5300
479	562	5299
480	563	5297
481	565	5296
482	566	5295
483	567	5294
484	568	5293
485	569	5291
486	570	5290
487	572	5289
488	573	5289
489	574	5288
490	575	5286
491	576	5285
492	578	5284
493	579	5283
494	580	5282
495	581	5280
496	582	5279
497	583	5278
498	584	5275
499	586	5274
500	587	5273
501	588	5271
502	589	5270
503	590	5269
504	591	5268
505	593	5267
506	594	5266
507	595	5268
508	596	5266
509	598	5265
510	599	5264
511	600	5264
512	601	5265
513	603	5264
514	604	5264
515	605	5262
516	606	5261
517	607	5259
518	609	5258
519	610	5257
520	611	5255
521	612	5253
522	613	5252
523	614	5250
524	615	5249
525	617	5248
526	618	5246
527	619	5245
528	620	5244
529	621	5243
530	622	5242
531	624	5240
532	625	5240
533	626	5239
534	627	5239
535	629	5238
536	630	5237
537	631	5235
538	632	5234
539	633	5233
540	633	5225
541	635	5223
542	636	5223
543	637	5221
544	638	5220
545	639	5219
546	640	5218
547	642	5216
548	643	5215
549	644	5214
550	644	5206
551	645	5204
552	647	5203
553	648	5202
554	649	5201
555	650	5200
556	651	5199
557	653	5198
558	654	5197
559	655	5196
560	656	5196
561	657	5194
562	659	5193
563	660	5193
564	661	5191
565	662	5190
566	663	5189
567	664	5187
568	665	5186
569	667	5185
570	668	5184
571	669	5183
572	670	5181
573	671	5180
574	673	5179
575	674	5178
576	675	5177
577	676	5176
578	677	5175
579	678	5173
580	680	5172
581	681	5170
582	682	5169
583	683	5168
584	684	5167
585	685	5165
586	687	5165
587	688	5163
588	689	5162
589	690	5161
590	691	5161
591	693	5160
592	694	5159
593	695	5158
594	696	5156
595	697	5155
596	698	5151
597	699	5150
598	700	5148
599	701	5147
600	703	5145
601	704	5144
602	705	5143
603	706	5142
604	707	5141
605	708	5140
606	710	5138
607	711	5137
608	712	5136
609	713	5135
610	714	5133
611	715	5132
612	716	5130
613	718	5129
614	719	5128
615	720	5127
616	721	5126
617	722	5125
618	724	5124
619	725	5122
620	726	5121
621	727	5120
622	728	5118
623	729	5118
624	730	5116
625	732	5115
626	733	5114
627	734	5113
628	735	5112
629	736	5111
630	738	5109
631	739	5108
632	740	5107
633	741	5106
634	742	5104
635	743	5103
636	745	5103
637	746	5102
638	747	5101
639	748	5099
640	749	5098
641	750	5097
642	752	5095
643	753	5094
644	754	5093
645	755	5092
646	756	5090
647	757	5089
648	758	5088
649	760	5087
650	761	5086
651	762	5084
652	763	5084
653	764	5083
654	766	5082
655	767	5080
656	768	5079
657	769	5078
658	770	5077
659	772	5076
660	773	5075
661	774	5073
662	775	5072
663	776	5071
664	777	5069
665	778	5064
666	779	5063
667	780	5061
668	781	5056
669	782	5056
670	783	5054
671	784	5053
672	785	5052
673	786	5049
674	787	5048
675	789	5046
676	790	5045
677	791	5044
678	792	5043
679	793	5042
680	794	5041
681	796	5039
682	797	5038
683	798	5037
684	799	5036
685	800	5036
686	801	5034
687	803	5033
688	804	5032
689	805	5030
690	806	5029
691	807	5028
692	808	5027
693	810	5027
694	811	5026
695	812	5026
696	814	5026
697	815	5026
698	816	5024
699	817	5023
700	818	5022
701	820	5021
702	821	5020
703	822	5019
704	823	5018
705	824	5016
706	825	5015
707	827	5014
708	828	5013
709	829	5012
710	830	5012
711	832	5011
712	833	5010
713	834	5009
714	835	5008
715	836	5007
716	838	5006
717	839	5005
718	840	5004
719	841	5003
720	842	5001
721	843	5000
722	845	4999
723	846	4997
724	847	4996
725	848	4995
726	849	4994
727	850	4992
728	852	4992
729	853	4991
730	854	4990
731	855	4989
732	856	4988
733	857	4986
734	859	4985
735	860	4984
736	861	4983
737	862	4982
738	863	4981
739	865	4980
740	866	4978
741	867	4977
742	868	4975
743	869	4973
744	870	4973
745	871	4972
746	873	4971
747	874	4970
748	875	4969
749	876	4965
750	877	4964
751	878	4963
752	879	4962
753	881	4961
754	882	4961
755	883	4960
756	884	4959
757	885	4957
758	887	4956
759	888	4955
760	889	4954
761	890	4953
762	891	4951
763	892	4950
764	894	4950
765	895	4949
766	896	4948
767	897	4946
768	898	4945
769	900	4944
770	901	4943
771	902	4942
772	903	4941
773	904	4940
774	905	4938
775	907	4937
776	908	4936
777	909	4935
778	910	4933
779	911	4932
780	912	4930
781	914	4930
782	915	4928
783	916	4927
784	917	4926
785	918	4924
786	919	4923
787	920	4922
788	922	4921
789	923	4920
790	924	4919
791	925	4918
792	926	4914
793	927	4913
794	928	4912
795	929	4911
796	931	4909
797	932	4908
798	933	4907
799	934	4905
800	935	4904
801	936	4903
802	937	4902
803	939	4900
804	940	4899
805	941	4898
806	942	4897
807	943	4896
808	944	4895
809	946	4893
810	947	4892
811	948	4892
812	949	4890
813	950	4889
814	951	4888
815	953	4886
816	954	4885
817	955	4884
818	956	4882
819	957	4881
820	958	4880
821	959	4879
822	961	4878
823	962	4877
824	963	4876
825	964	4874
826	965	4873
827	967	4872
828	968	4871
829	969	4870
830	970	4869
831	971	4868
832	972	4867
833	974	4865
834	975	4864
835	976	4863
836	977	4862
837	978	4861
838	979	4860
839	981	4859
840	982	4857
841	983	4856
842	984	4854
843	985	4852
844	986	4851
845	987	4850
846	989	4849
847	990	4848
848	991	4847
849	992	4845
850	993	4845
851	995	4844
852	996	4843
853	997	4842
854	998	4841
855	999	4840
856	1001	4839
857	1002	4837
858	1003	4836
859	1004	4835
860	1005	4834
861	1005	4829
862	1007	4827
863	1008	4826
864	1009	4824
865	1009	4820
866	1010	4818
867	1011	4817
868	1013	4816
869	1014	4815
870	1015	4814
871	1016	4813
872	1017	4811
873	1018	4810
874	1020	4809
875	1021	4808
876	1022	4807
877	1023	4806
878	1024	4805
879	1026	4803
880	1027	4802
881	1028	4802
882	1029	4800
883	1030	4799
884	1032	4798
885	1033	4798
886	1034	4796
887	1035	4795
888	1036	4794
889	1037	4793
890	1039	4792
891	1040	4791
892	1041	4789
893	1042	4788
894	1043	4787
895	1045	4786
896	1046	4785
897	1047	4784
898	1048	4781
899	1049	4779
900	1050	4778
901	1051	4777
902	1052	4776
903	1053	4774
904	1054	4769
905	1055	4769
906	1056	4767
907	1057	4766
908	1058	4765
909	1059	4764
910	1061	4763
911	1062	4762
912	1063	4761
913	1064	4760
914	1066	4760
915	1067	4760
916	1069	4761
917	1070	4761
918	1072	4760
919	1073	4760
920	1074	4760
921	1076	4759
922	1077	4759
923	1078	4759
924	1080	4759
925	1081	4759
926	1083	4759
927	1084	4758
928	1085	4758
929	1087	4757
930	1088	4756
931	1089	4756
932	1091	4755
933	1092	4755
934	1093	4755
935	1095	4756
936	1098	4764
937	1100	4765
938	1102	4766
939	1104	4770
940	1106	4773
941	1109	4778
942	1110	4778
943	1112	4778
944	1113	4778
945	1114	4778
946	1116	4778
947	1117	4777
948	1119	4776
949	1120	4776
950	1122	4777
951	1123	4776
952	1124	4775
953	1125	4771
954	1125	4766
955	1126	4766
956	1128	4766
957	1129	4766
958	1130	4765
959	1132	4765
960	1133	4764
961	1134	4763
962	1135	4759
963	1136	4759
964	1138	4758
965	1139	4759
966	1140	4756
967	1141	4755
968	1142	4754
969	1144	4754
970	1145	4754
971	1147	4754
972	1148	4754
973	1149	4753
974	1151	4752
975	1152	4750
976	1153	4749
977	1154	4748
978	1155	4747
979	1156	4745
980	1158	4744
981	1159	4743
982	1160	4742
983	1161	4740
984	1162	4739
985	1163	4737
986	1165	4737
987	1166	4736
988	1167	4735
989	1168	4733
990	1169	4732
991	1171	4732
992	1172	4730
993	1173	4729
994	1174	4728
995	1175	4727
996	1177	4725
997	1178	4724
998	1179	4723
999	1180	4722
1000	1181	4720
1001	1182	4719
1002	1183	4718
1003	1185	4716
1004	1186	4715
1005	1187	4714
1006	1188	4713
1007	1189	4712
1008	1191	4711
1009	1192	4710
1010	1194	4711
1011	1195	4710
1012	1196	4708
1013	1197	4707
1014	1198	4705
1015	1199	4705
1016	1201	4703
1017	1202	4702
1018	1203	4701
1019	1204	4700
1020	1204	4695
1021	1205	4694
1022	1207	4692
1023	1208	4692
1024	1210	4692
1025	1211	4691
1026	1212	4690
1027	1213	4689
1028	1214	4687
1029	1215	4686
1030	1216	4682
1031	1218	4684
1032	1219	4682
1033	1220	4681
1034	1221	4680
1035	1222	4678
1036	1223	4677
1037	1225	4676
1038	1226	4675
1039	1227	4674
1040	1228	4672
1041	1229	4671
1042	1231	4670
1043	1232	4669
1044	1233	4668
1045	1234	4666
1046	1235	4665
1047	1236	4661
1048	1237	4660
1049	1238	4659
1050	1239	4658
1051	1241	4657
1052	1242	4656
1053	1243	4655
1054	1244	4654
1055	1245	4650
1056	1246	4650
1057	1248	4650
1058	1249	4649
1059	1250	4648
1060	1251	4646
1061	1252	4646
1062	1254	4644
1063	1255	4643
1064	1256	4643
1065	1257	4642
1066	1259	4640
1067	1260	4640
1068	1261	4638
1069	1262	4637
1070	1263	4636
1071	1264	4635
1072	1266	4633
1073	1267	4632
1074	1268	4631
1075	1269	4630
1076	1270	4629
1077	1271	4627
1078	1273	4626
1079	1274	4625
1080	1275	4624
1081	1276	4623
1082	1278	4622
1083	1279	4620
1084	1280	4619
1085	1280	4616
1086	1282	4615
1087	1283	4614
1088	1284	4613
1089	1285	4611
1090	1286	4610
1091	1287	4609
1092	1289	4608
1093	1290	4607
1094	1291	4605
1095	1292	4604
1096	1293	4603
1097	1295	4602
1098	1296	4600
1099	1297	4599
1100	1298	4597
1101	1298	4593
1102	1299	4592
1103	1301	4591
1104	1302	4589
1105	1303	4588
1106	1304	4587
1107	1305	4586
1108	1306	4585
1109	1307	4583
1110	1309	4582
1111	1310	4581
1112	1311	4579
1113	1312	4578
1114	1313	4577
1115	1314	4576
1116	1316	4575
1117	1317	4573
1118	1318	4572
1119	1319	4571
1120	1320	4570
1121	1321	4568
1122	1323	4567
1123	1324	4566
1124	1325	4565
1125	1325	4561
1126	1327	4560
1127	1328	4559
1128	1329	4557
1129	1330	4556
1130	1331	4555
1131	1332	4554
1132	1334	4553
1133	1335	4552
1134	1336	4551
1135	1337	4550
1136	1338	4548
1137	1339	4547
1138	1341	4546
1139	1342	4545
1140	1343	4544
1141	1343	4539
1142	1344	4538
1143	1346	4537
1144	1347	4535
1145	1348	4534
1146	1349	4533
1147	1350	4532
1148	1351	4530
1149	1352	4529
1150	1354	4528
1151	1355	4527
1152	1356	4525
1153	1357	4524
1154	1358	4523
1155	1359	4521
1156	1361	4520
1157	1362	4519
1158	1363	4518
1159	1364	4517
1160	1365	4516
1161	1366	4515
1162	1368	4514
1163	1369	4512
1164	1370	4511
1165	1371	4510
1166	1372	4508
1167	1373	4507
1168	1375	4506
1169	1376	4505
1170	1377	4504
1171	1378	4503
1172	1379	4502
1173	1380	4498
1174	1381	4496
1175	1382	4495
1176	1383	4493
1177	1384	4492
1178	1385	4491
1179	1386	4489
1180	1388	4488
1181	1389	4487
1182	1390	4486
1183	1391	4485
1184	1392	4483
1185	1393	4482
1186	1395	4481
1187	1396	4480
1188	1397	4478
1189	1398	4477
1190	1399	4476
1191	1400	4474
1192	1402	4473
1193	1403	4472
1194	1404	4471
1195	1405	4470
1196	1406	4469
1197	1407	4468
1198	1409	4466
1199	1410	4465
1200	1411	4464
1201	1412	4463
1202	1413	4462
1203	1414	4461
1204	1416	4459
1205	1417	4459
1206	1418	4457
1207	1419	4456
1208	1420	4454
1209	1421	4453
1210	1423	4452
1211	1424	4451
1212	1425	4451
1213	1426	4450
1214	1428	4449
1215	1429	4446
1216	1430	4445
1217	1431	4444
1218	1432	4443
1219	1433	4442
1220	1434	4440
1221	1436	4439
1222	1437	4438
1223	1438	4437
1224	1439	4436
1225	1440	4435
1226	1441	4433
1227	1443	4432
1228	1444	4431
1229	1445	4430
1230	1446	4429
1231	1447	4427
1232	1448	4426
1233	1450	4425
1234	1451	4424
1235	1452	4422
1236	1453	4421
1237	1454	4420
1238	1455	4419
1239	1456	4417
1240	1458	4416
1241	1459	4415
1242	1460	4414
1243	1461	4413
1244	1462	4411
1245	1464	4410
1246	1465	4409
1247	1466	4408
1248	1467	4407
1249	1468	4405
1250	1469	4404
1251	1470	4403
1252	1471	4401
1253	1472	4400
1254	1474	4398
1255	1475	4397
1256	1476	4396
1257	1477	4395
1258	1478	4394
1259	1480	4393
1260	1481	4391
1261	1482	4390
1262	1483	4389
1263	1484	4387
1264	1485	4385
1265	1486	4384
1266	1487	4382
1267	1488	4381
1268	1489	4380
1269	1491	4379
1270	1492	4378
1271	1493	4376
1272	1494	4375
1273	1495	4374
1274	1497	4373
1275	1497	4370
1276	1498	4369
1277	1500	4368
1278	1501	4367
1279	1502	4366
1280	1503	4365
1281	1504	4364
1282	1506	4363
1283	1507	4362
1284	1508	4360
1285	1509	4359
1286	1510	4358
1287	1511	4356
1288	1513	4355
1289	1514	4354
1290	1515	4353
1291	1516	4352
1292	1517	4351
1293	1518	4349
1294	1520	4348
1295	1521	4347
1296	1522	4346
1297	1523	4345
1298	1524	4343
1299	1525	4342
1300	1526	4341
1301	1528	4340
1302	1529	4339
1303	1529	4336
1304	1531	4334
1305	1532	4333
1306	1533	4332
1307	1534	4330
1308	1535	4329
1309	1536	4328
1310	1537	4326
1311	1538	4325
1312	1539	4323
1313	1540	4322
1314	1542	4321
1315	1542	4319
1316	1544	4318
1317	1545	4316
1318	1546	4315
1319	1547	4314
1320	1548	4313
1321	1549	4312
1322	1551	4311
1323	1552	4309
1324	1553	4308
1325	1554	4307
1326	1555	4306
1327	1556	4305
1328	1557	4302
1329	1558	4301
1330	1559	4299
1331	1560	4298
1332	1561	4296
1333	1563	4295
1334	1564	4294
1335	1565	4292
1336	1566	4291
1337	1567	4290
1338	1568	4288
1339	1569	4287
1340	1570	4286
1341	1572	4285
1342	1573	4284
1343	1574	4282
1344	1575	4281
1345	1576	4280
1346	1578	4279
1347	1579	4278
1348	1580	4277
1349	1581	4275
1350	1582	4274
1351	1583	4273
1352	1585	4272
1353	1586	4271
1354	1587	4270
1355	1587	4267
1356	1589	4266
1357	1590	4264
1358	1591	4263
1359	1592	4262
1360	1593	4261
1361	1594	4260
1362	1595	4258
1363	1597	4257
1364	1598	4256
1365	1599	4255
1366	1600	4254
1367	1601	4253
1368	1603	4252
1369	1604	4251
1370	1605	4249
1371	1606	4248
1372	1607	4247
1373	1608	4245
1374	1609	4243
1375	1610	4242
1376	1611	4241
1377	1613	4239
1378	1614	4238
1379	1615	4237
1380	1616	4236
1381	1617	4235
1382	1618	4233
1383	1620	4232
1384	1621	4231
1385	1622	4230
1386	1623	4229
1387	1624	4228
1388	1625	4227
1389	1627	4226
1390	1628	4224
1391	1629	4223
1392	1630	4222
1393	1631	4221
1394	1632	4219
1395	1634	4218
1396	1635	4217
1397	1636	4216
1398	1637	4215
1399	1638	4213
1400	1639	4211
1401	1640	4210
1402	1641	4209
1403	1643	4208
1404	1644	4206
1405	1645	4205
1406	1646	4204
1407	1647	4203
1408	1648	4202
1409	1650	4201
1410	1651	4199
1411	1652	4198
1412	1653	4197
1413	1654	4196
1414	1655	4194
1415	1656	4193
1416	1657	4192
1417	1659	4191
1418	1660	4190
1419	1662	4190
1420	1663	4189
1421	1664	4188
1422	1665	4187
1423	1666	4186
1424	1667	4184
1425	1669	4183
1426	1670	4182
1427	1670	4179
1428	1671	4177
1429	1673	4176
1430	1674	4175
1431	1675	4174
1432	1676	4172
1433	1677	4171
1434	1678	4170
1435	1679	4167
1436	1680	4166
1437	1681	4165
1438	1682	4164
1439	1684	4163
1440	1685	4162
1441	1686	4161
1442	1686	4158
1443	1688	4156
1444	1689	4155
1445	1690	4154
1446	1691	4153
1447	1691	4149
1448	1692	4148
1449	1694	4147
1450	1695	4146
1451	1696	4145
1452	1697	4144
1453	1698	4143
1454	1699	4141
1455	1701	4140
1456	1702	4139
1457	1703	4138
1458	1704	4137
1459	1705	4136
1460	1706	4134
1461	1708	4133
1462	1709	4132
1463	1710	4131
1464	1711	4130
1465	1712	4129
1466	1714	4127
1467	1715	4126
1468	1716	4125
1469	1717	4124
1470	1718	4123
1471	1719	4122
1472	1720	4119
1473	1721	4118
1474	1722	4117
1475	1723	4116
1476	1725	4115
1477	1726	4113
1478	1727	4112
1479	1728	4111
1480	1729	4110
1481	1730	4109
1482	1731	4106
1483	1732	4105
1484	1733	4103
1485	1735	4102
1486	1736	4101
1487	1736	4098
1488	1737	4097
1489	1738	4096
1490	1739	4094
1491	1741	4093
1492	1742	4092
1493	1743	4091
1494	1744	4090
1495	1745	4088
1496	1746	4087
1497	1747	4086
1498	1749	4085
1499	1750	4083
1500	1751	4082
1501	1752	4081
1502	1753	4080
1503	1754	4079
1504	1756	4078
1505	1757	4077
1506	1758	4076
1507	1760	4076
1508	1761	4074
1509	1762	4073
1510	1763	4072
1511	1764	4071
1512	1766	4070
1513	1767	4069
1514	1768	4068
1515	1769	4066
1516	1770	4065
1517	1771	4063
1518	1772	4062
1519	1773	4061
1520	1775	4060
1521	1776	4059
1522	1777	4057
1523	1778	4056
1524	1779	4055
1525	1780	4054
1526	1782	4053
1527	1783	4052
1528	1784	4051
1529	1785	4049
1530	1786	4048
1531	1787	4047
1532	1789	4046
1533	1790	4045
1534	1791	4043
1535	1792	4042
1536	1793	4039
1537	1794	4038
1538	1795	4037
1539	1796	4036
1540	1798	4035
1541	1799	4034
1542	1800	4033
1543	1801	4032
1544	1802	4031
1545	1804	4030
1546	1805	4029
1547	1806	4027
1548	1807	4026
1549	1808	4025
1550	1809	4024
1551	1810	4023
1552	1812	4022
1553	1813	4020
1554	1814	4019
1555	1815	4018
1556	1816	4017
1557	1818	4016
1558	1819	4015
1559	1820	4014
1560	1821	4013
1561	1822	4012
1562	1824	4011
1563	1825	4010
1564	1826	4009
1565	1827	4008
1566	1828	4006
1567	1830	4005
1568	1831	4004
1569	1832	4003
1570	1833	4002
1571	1834	4001
1572	1836	4000
1573	1837	3998
1574	1838	3997
1575	1839	3996
1576	1840	3994
1577	1841	3993
1578	1842	3992
1579	1844	3991
1580	1845	3990
1581	1846	3989
1582	1847	3988
1583	1848	3987
1584	1850	3986
1585	1851	3984
1586	1852	3983
1587	1853	3982
1588	1854	3981
1589	1855	3980
1590	1856	3978
1591	1858	3977
1592	1859	3976
1593	1860	3975
1594	1861	3973
1595	1862	3972
1596	1863	3971
1597	1864	3969
1598	1865	3968
1599	1866	3965
1600	1867	3964
1601	1868	3963
1602	1869	3962
1603	1871	3961
1604	1872	3960
1605	1873	3959
1606	1874	3957
1607	1875	3956
1608	1876	3955
1609	1877	3954
1610	1879	3952
1611	1880	3951
1612	1881	3950
1613	1882	3949
1614	1883	3948
1615	1884	3945
1616	1885	3944
1617	1885	3941
1618	1886	3940
1619	1888	3939
1620	1889	3938
1621	1890	3937
1622	1891	3936
1623	1892	3934
1624	1894	3933
1625	1895	3932
1626	1896	3931
1627	1897	3930
1628	1898	3929
1629	1900	3928
1630	1901	3926
1631	1902	3925
1632	1903	3924
1633	1904	3923
1634	1905	3922
1635	1907	3921
1636	1908	3920
1637	1909	3918
1638	1910	3917
1639	1911	3916
1640	1912	3915
1641	1913	3914
1642	1915	3912
1643	1916	3911
1644	1917	3910
1645	1918	3909
1646	1919	3908
1647	1920	3907
1648	1922	3905
1649	1923	3904
1650	1924	3903
1651	1925	3902
1652	1926	3901
1653	1927	3900
1654	1929	3899
